Feature,Importance
MonthlyIncome,0.07913022058915355
DailyRate,0.059349383184811144
Age,0.057235204666556176
MonthlyRate,0.05390903654452943
OverTime,0.05384017536118972
TotalWorkingYears,0.052910145729504414
DistanceFromHome,0.049310705284491024
HourlyRate,0.04835290768529708
YearsAtCompany,0.04457269006071373
PercentSalaryHike,0.0372172703017864
JobRole,0.035931059854813846
NumCompaniesWorked,0.03337795360503554
EnvironmentSatisfaction,0.029520854207927414
YearsWithCurrManager,0.02940487931669293
StockOptionLevel,0.027782350838355074
TrainingTimesLastYear,0.027491856621065555
JobSatisfaction,0.026915427866440318
WorkLifeBalance,0.02670728415465411
YearsSinceLastPromotion,0.026049245597432335
RelationshipSatisfaction,0.024173181710725626
JobInvolvement,0.02403247627741347
YearsInCurrentRole,0.02381816099674442
EducationField,0.023176510208760673
MaritalStatus,0.021645121398231843
JobLevel,0.021598017158201727
Education,0.021407392432684254
BusinessTravel,0.014777083267262429
Department,0.013915550255148217
Gender,0.007818542619731082
PerformanceRating,0.004629312204646488
EmployeeCount,0.0
StandardHours,0.0
Over18,0.0
